Stop #,Stop Name,Year,Day Type,Boardings,Alightings
518,WASHINGTON ST @ ASHMONT ST,FY2018,Weekday,9,6
520,ARBORWAY @ WASHINGTON ST,FY2018,Weekday,3,8
521,ARBORWAY @ SHEA SQUARE,FY2018,Weekday,23,11
522,CIRCUIT DR @ SHATTUCK HOSPITA,FY2018,Weekday,61,31
523,MORTON ST @ CANTERBURY ST,FY2018,Weekday,56,127
524,MORTON ST @ HARVARD ST,FY2018,Weekday,66,279
525,MORTON ST @ GREENDALE RD,FY2018,Weekday,91,289
526,MORTON ST @ BLUE HILL AVE,FY2018,Weekday,216,99
527,MORTON ST @ WILDWOOD ST,FY2018,Weekday,59,34
528,MORTON ST @ NORFOLK ST,FY2018,Weekday,133,117
529,MORTON ST OPP EVANS ST,FY2018,Weekday,67,109
530,MORTON ST @ W SELDEN ST,FY2018,Weekday,198,171
531,MORTON ST @ OWEN ST,FY2018,Weekday,41,53
532,GALLIVAN BLVD @ STONE TERR,FY2018,Weekday,14,59
533,DORCHESTER AVE @ GALLIVAN BLV,FY2018,Weekday,44,98
534,DORCHESTER AVE @ VAN WINKLE S,FY2018,Weekday,3,15
536,DORCHESTER AVE @ HURLCROFT AV,FY2018,Weekday,23,4
537,DORCHESTER AVE @ GALLIVAN BLV,FY2018,Weekday,89,21
539,980 MORTON ST OPP OWEN ST,FY2018,Weekday,34,36
540,MORTON ST @ SELDEN ST,FY2018,Weekday,234,173
